Q,A
100점임 그래서?,나는 7점으로 나오는데 만점 20점 아니야?
10시간 컷 가능?,대체 뭘 공부해야함?
11시부터 맞지??,이번엔 대면임?
12시 이후부터인가,12넘으면 개에바고 10시넘으면 주의해야지
12월 10일인가?,사바사임
12월 신청 맞제?,군필이라모르겟다미안
13장까지 맞나요?,1011 아니엿어??
1시간 걸리긴하는디,올때 택시타서 갈때 버스타야함 나는..
1층에 식당이에요?,술 파는 바 래요!
1학기에도 있죠 ?,노 없음.
20-26 맞나요?,ㅇㅇ 다음주
23점인데 무리일까,기말로 커버해
2개나 놓쳤는데..,2학년때 노려
314호 시험이야?,학번 반으로 나눔
38 22면 d야?,왜 기말때 떨어졌냐 넌
44면 ㅁㅌㅊ야..,난 40이야
4명도 가능한가요?,학과마다 다를겁니다
69일남았습니다..,나땐 50
6명이 수업들음??,1은 무시하고 2 3 4 학년에서 2명씩만 더 받겠다는거임
9월 1일 아니고?,뒷북 레전드
B+ 가능할까요??,A
C나오면 재수강해?,c이하 재수강가능한데
c도 가능성 없나?,기초면 그러지 않을까
F 원래 0점이야?,겨수님맘최소로주면 한 40 50도줌
kt는 아직 안됨?,출석인정 안 되는거아냐
n4동 안에 있어?,1층에서 119호 찾으면 됨
ㄱㅅㅇ교수님수업인데,개꿀
가격표 어디서 봐?,어디서 나두 들은거긴한데 등록비 3만원이라던데
가까운곳으로 추천좀,버스타고 둔산가
가면 알려주나..?,아침에 카톡옴
가방맡길곳이있나요?,진짜 없다면 편의점에 어느정도 구매하고나서 좀만 맡길 수 있냐고 사정해봐.. 나 옛날에 그랬어..
가수들 몇시쯤에와?,"7 30,,,-"
가시는 분 있나요?,어디서함? 재밌겄네
가을타서 그런걸까?,ㅎㅇㅌ
같이 가줄사람 ㄷㄷ,방탈출  어디서 해??
같이 갔다 올 분?,서브웨이 어딨어요?
같이가서 공부하자!,어디??
같이영화보러갈사람?,난 이제 시작인데
걸어다니기 멀까요?,오르막길 생각하셔야함
결과 몇시에 나와?,나옴?
결과 언제나와 ??,고지서 나올때
경보음 계속 울리네,관리실에 아무도없나
계산기 필요하댔나?,ㄴ 계산 할게 어딨음
계속 동영상강의야?,ㅇㅇ 그럴것같아
계속준비중이라뜨는데,학교 맘터 배짱장사라 ㅋㅋㅋ
계절학기 열리나요?,드랍은 지남
계절학기도 끝났는뎅,계절학기+여름방학(남은 기간) 가능
계좌들 괜찮노..?,한달동안 우하향 찍고 있어서 미칠것같다
공부 잘하고 있어?,뭐가 나올지 모르겠어서 반 포기
공약집 어디서 봐?,문자 온거 링크 들어가면 볼 수 있는 링크 떠
공지 해주셨나 ㅠㅠ,해줬어 단톡방에
공지가아직도없네..,공지에 과제이야기는 뭘까...
공학용계산기필요함?,미적은 공학용계산기 쓰면 안대죵
과잠 어서 받아여?,N3 5층 학생회실이요
과잠 입으면 될까?,저녁엔 쌀쌀
과제 다 풀어야함?,ㅇㅈㅅ ㅅㅂㄴ
과제 몇장정도 함?,10장
과제 언제까진가요?,동물 그리는거?
과제 있었니 ???,그분은 매주 있지 않나
괜찮을거 같나요?ㅠ,아뇨 전혀요
교수님한테 빈거임?,그렇지 않을까? 🤔
교양과목들 있나요?,열리긴하는데 적어요 발토 역사 글쓰기 1개씩밖에안열려요
교재 많이 쓰나요?,나름 썼던것같은데 진성희 교수님이시면 무조건 사셔야해요
교재 사용하셨나요?,쪽지 확인해주세요
교재 필요한가요??,지난 학기에 들었는데 없어도 됨
국립대라 싼편인가?,되게 비싼편임
그냥 개망했다 ㅋㅋ,점수 어디서 봄?
그냥 변기에 버려?,긱사식당 입구 왼쪽에 보면 큰통있는데 거따버려야됨
그냥 최저임금이넹?,내 말이
그대로 남아있는겨?,어떤식으로 통합되냐에 따라서 다를거에요
그런 사람 있다길래,난 걍 몸만 갔는데
그럼 자동 삭제되나,취소해라 일하시는분들귀찮게
그럼 자취방구해야지,절대안열지
그럼 절평으로하나?,이걸 폐강을 안했다고?
근데...어...?,역시 리틀차이나 ㅋㅋ
기계말고 또 있나?,물론 2학년부터
기말 좆된거같은데?,ㅖ?
기말만 잘 봐도됨?,비율을 봐야지
기모맨투맨 더울까?,춥다
기모후드티 쌉가능?,어 오늘 좀 추워 ㅜㅜ
기숙사 내일 들어감,한밭대 주변엔 없ㅁ
기숙사 좀 그런가?,기숙사도 취사실 있어
기억이 가물가물하네,가물가물가물치
긱식이야 학식이야?,당근 긱식
김대중교수님 물리1,아닐걸요?
나 너무 슬퍼 ㅠㅠ,쉬겠냐;
나 뭐 잘못한건가?,아예 안보시는분도 계심 문자 남겨놔야 봄
나 어케 공대왔냐?,어케가 아니라 왜 왔는지를 생각해봐야...
나는 7개 18학점,6개 18
나는 자격증공부..,토익..^^
나랑 돈스타브할래?,굶지마
나를 배신하지 않아,형...찐따같애...혹시...배개...남는거...있어...?
나만 반팔입었네ㅜㅠ,낮기온 17도임
나만 아직 안나옴?,나왔는데
나만 이렇게 떠??,나도임
나만 ㅈㄴ 어려움?,공부했으면 쉬웠을걸
나만 ㅈ됨……..?,난 회화 헿
나만 절반도 못했니,나 딱 절반함...ㅠㅠㅠㅜ
나만 점수 이래??,나도 개망
난 0.44 떨어짐,나도 0.42^^..
난 못푼거좀..있음,반타작일것같은데 ㅠㅠ
난 좀 아니라고 봄,ㄹㅇ나이 잇으신 분 중에 경각심 없는 분들 많어....
난이도 상 중 하?,중정도 아닌가
난이도 어땠음..?,ㅈ같음
날짜 지나서 그럼?,ㅋㅋㅋㅋㅋㅋ 나만그런게 아니었네
남녀 연결해주는거!,오늘 가볼까 고민중
남사진잘찍는사람??,나 ㄹㅇ 보장
남자도 쓸수있어 ?,9시까지가능
낮에도 추울것같아?,얇은거 겹쳐입으세요..  아우터 필수..
내일 강의 있나요?,안내 온건 없었어요
내일 비대면 맞지?,만약 알게된다면 나도 알려줘..
내일 비대면이던가?,대면아님?
내일 수업하는거야?,오후반은 안함
내일 시험 몇시야?,2시에 뵙겠습니다
내일 하는거 맞지?,안녕하세요:) 정정기간에 신청했는데 혹시 오티때 공지하신거 있나요?
내일까지 ㄱㄴ이냐?,지금부터해라;;;
내일도 비대면이지?,대면일 때는 미리 공지를 해주신댔는데 없었으니 비대면이겠지
내일이 기말고사지?,내일아니야?
너네 생각은 어때?,편입할 수 있다면 무조건 하는게좋음
너무 늦은건가?ㅠㅠ,보통 3학년인듯한데
너희 술게임은아니?,안녕클레오파트라
녹강 왜 안올라와?,헐 나도 그거 물어보려고 했는데 오늘 녹강이라고 하신 거 맞지?
논문 쓰는사람있니?,나..
뉴랜드빌라 어때요?,깔끔
는 1학년 안뽑죠?,작년에 투표해서 이미 임기시작함 최소 2학년이 하던데
다 객관식이야..?,서술형도 있다고 하지않았나
다 푼 사람 있음?,던진사람은 있음👋
다들 공부 다했어?,오픈북이라 안했는데 짝수문제 시험에 많이나온다해서 푸는중 ㅠ
다들 들어오셨나요?,아직여
다들 몇시에 가??,一台時
다들 몇시에 봐요?,6시에 운동장으로 오심 됩니다! 날 추우니 준비운동 잘하고 하십셔
다들 시험 어땠어?,어려웠음;;;;
다들 시험 어땠음?,공부 안해서 망함 ㅋㅎㅋㅎㅋㅎㅋ
다들 아직 대기지?,무한대기중..
다들 어떻게 걸림?,밥먹다가
다들 언제부터야 ?,19일
다들 잘 보셨나요?,뭐가 제일 어려웠음?
다들 학점 뭐임??,비제로....
다른과들고 궁금하네,건축공 95 a+나온 캡스톤2
다른학교들은 있던데,남잔데 여친이 쓰는거 봤어
다맞은사람 많겠지?,일단 나
다음주도 대면이야?,별 말 없으면 그렇지
닫나? 닫아부리나?,히사시부리?
담주면 어떨까..?,9월달까진 더울텐데
당첨된 사람 있어?,광탈
당황이라는걸 안해?,함 니가 모를뿐
대단하노 아주 ㅋㅋ,이재 감기취급하기로 했나봄
대면도 오픈북이야?,ㅇㄷ) 또 비대면이면 좋겠다...
대전 날씨 어떰??,어제 한명보긴함 난 숏패딩입을거야
대전 비 많이 와?,비가 씹게이같이 오다말다 함
대화주제 추천좀..,"어떤상황에 따라 다를수있는데 예를들어서 같은수업 들으면 교수님 얘기하고, 동아리면 동아리 관련된 얘기 그런거 하지않아? 관심있는거가 축구면 축구얘기하고"
독후감 개꿀인가요?,ㅇㅇㅇ
돈 언제 들어와??,7월 첫째주로 밀림
돈 언제 빠져나가?,아 바로 나가는게 아녔규나
동아리 어디인가요?,오늘 버스킹 했어요??
동아리는 다 하던데,과 술자리 마련 '해줘'
동영상강의 맞지??,살려줘 ㅠㅠ
뒷처리 어떻게 해?,물티슈로 싸악 닦아야지
듣는데 얼마들어요?,1학점당 3만원
듣는사람 있음..?,너
들어갈수 있나요??,정문은 안해도 들어갈수있음
들어온 거 후회함?,1.후회한다
들을 만한가요..?,이제 칸트공부하셔야함
들을만 한가요..?,그냥 외울거 많음
따로 공지가 없어서,엥 휴강이야?
따로 구매하는거야?,따로 사서 스캔뜸
또 기회가 오게찌?,잔여백신 맞으셈
또 싸우는가?!!!,그만
ㄹㅇ 과팅 시켜줌?,어어 내자리 비워놔라
ㄹㅇ?? 개멋있는데,오.. 난 여잔데 좀 과한 것 같긴 함 물론 대단하긴해
롯데라 좀 불안하네,롯데는 느리던데...
롯데프레쉬에 파나?,퓨레는 대형마트에 팔듯?
롱패딩 입어야하나?,애기니?
마라탕 맛집 어디?,ㅌㅎㅋㅍ!!
마스크 완전 해방?,2024년 3월 29일 하루 확진자 : 5백만명
맘스터치가 맛있니?,몬스터와퍼 ㄱ
맛있는곳 있나요??,남문쪽에 김가네랑 꼬마김밥
멋있던데 동아리야?,내년에 만드려고요 ! 모집하면 지원해주세요 😃
메일 보내도 될까?,전체 수강신청은 끝나고 해야지... 오늘한거면 2학년아님?? 안해주실거같은디
몇 시까지 해요??,기숙사 식당 제외하고 23시 까지인걸로 알고있음
몇 시부터 기다림?,맨앞라인은 5시반부터섰어도 됫겟음..
몇개 못들었는데..,이수체계도만 지키면 상관없음
몇시까지 하나요 ?,10시였나 11시였나
몇시시험이죠...?,ㅇㄱㅊ교수님?
모집글에 안보이네요,아 할만한게 그거뿐이였는디
목안아픈증상도있음?,가끔
몸아프면 뭔가 좋음,ㄴㄴ미ㅊ넘임
문토 어플 써봤어?,왜??????
물론 좋은 쪽으로!,뭐라고 연락 하시는데?
뭐 드시나요 다들?,초밥이여
뭐 먼저 발라야됨?,토너(스킨)  앰플  로션 순
뭐 사는게 좋아??,가성비 se
뭐가 더 좋나요??,컴
뭐가 더 좋을까요?,벽화가 진짜 100배는더 낳음
뭐가 문제인거야..,double이면 %lf아님?
뭐가 제일 좋았음?,할리퀸
뭐뭐하고 끝났나요?,사격
뭐사주면 좋아함??,문화상품권
뭔 장난질이야 이건,책에 있음
뭔가 이상한데...,물리잖아요
뭔데 ㅆㅂ첨봣다구요,뻐큐같이 생긴 그놈?
뭘 보는 거임..?,우리 기말고사는 개쉬웠음!!
미니 가습기 팔까?,전화로 물어보면 알려줌
바뀌는 주기가 ??,1년에 한번?
바지 줄이고 싶은데,아파트쪽에 있어
바퀴벌레 나오나요?,원래 거기 나왔음?
반팔은 좀 그런가?,9도여서 겉옷입었다가 뒤지는줄 알았다
받는거 사실이야??,2027년인가 그때 병장월급 200받도록 추진한데
밤에 사람 많나요?,밤엔 늘 많았음
밤에도 출입가능해?,아니 그럴리가
방금 경보 뭐야 ?,개놀랬네
방학에 신청 될까나,헬스장 주에 4일 다 가는데 여자 분 본 적 없는거 같은디..? 신청기간있는데 이후에도 신청되는지는 모르겠다
배그나 서든 할건데,퍼펙 유료자리 ㄱ
백스페이스 없나요?,del
베터리 빨리 닳어?,그런듯.. 내것도 그랬엇음 지금은 증발됨
별로야?조별있었어?,조 없음 학점 잘주심
보건증 제출 되지?,엉 카드키 받을땨
보는 사람 있닝??,일단 첫무대 갠적으로 개별로
보통 다들 언제봐?,8주차
보통 몇도로 해놔?,23도
보통 얼마나 써 ?,50
보통 오늘 본가가?,나도 내일 아침에 가
복학했는데 궁금하누,문화체육관 휘트니스센터가 학교헬스장?
볼수있는데가 있어?,에타 식단표에 나오는 교직원식당 메뉴임
봐? 말어? 하..,일단 내일 2교시야
분량 얼만큼 나옴?,2장반
불만있는사람 없지?,나 좀 불만있을지도
빨리 쉬고싶다 ㅎㅎ,내년 9월 28일부터
빼박 코로나인가??,나랑똑같네 바로 양성뜸
사이렌 소리 뭐임?,호미들
상금 들어왔어???,아니 ㅜ 혹시 시상식 갔어?
생각보다 느린데..,나 중간중간 ㅈㄴ 끊김
생각보다 좀 낮아서,구지?
서울거지라는 뜻임?,^1557^
서울에서 출발하는데,조금
서점 몇시에 열음?,23시
선형대수학 있나여?,개설강좌조회를 계절학기로바꿔서 봐
설명좀 부탁드립니다,요일이랑 교시 적혀있네
쇼~~메이커!!!!,역스 그 팀은 미드 때매 절대 우승 못한다
숏패딩은 오바겠지?,난 니트에 가디건 입음
수강신청 후에도??,학과장님이랑 상담해야함 ok하시면 자퇴가능
수업 뭐 했음???,그림 심리테스트..?
수업 안나가도 됨?,첫주 출첵 의미 없긴함
수업 어느정도하심?,보통 2시간 20분? 강의시간 금방 지나감
수업 어떤가요???,ㅇㅈㅎ교수님 수업 들엇습니다 조별로 진행하는데 과제 난이도는 쉽고 시험 범위도 다 알려주셧어요생각보다 과제가 많은 편인데 난이도가 낮아서 괜찮았던 것 같아요..! 조별로 하는거 발표하는거 싫어하지만 않으면 강추합니다bb
수업아니니까 ㄱㅊ?,상관은 없지 근데 상대가 어떻게 볼진 모르지..
수업은 들어야지..,세구빛을 참아?
수업하는 사람있어?,내일 왜?
수치해석과제하신분?,포기
수통골 말고 다른곳,디금은 춥지..
스펙 높아야해???,토익900이상
시험 11시 맞죠?,12시
시험 25일 맞아?,응 마지막주에 본다고했자나
시험 s3동 맞지?,공지나왔음?
시험 어땠어요???,쉽진 않았던것같아요. 헷갈리는거 많던데
시험 오픈북아니지?,오픈북맞음
시험보는데 무슨일?,누구 다쳤어?
시험전날 몇시에잠?,안자던데
식료품가게 있나염?,가까운덴 롯데마트 999학하동으로 내려가면 정립스토아 등 2개정도 마트 있어요
신용카드도 가능해?,ㄴㄴ계좌이체 현금만
신청 방법이있어??,과 단톡에 올라올걸
신청한 사람 있어?,남자?
신축 전세 있긴함?,덕명네거리에 있음
실강 녹강 될려나?,공휴일에 실강은 못 할 걸?
쓰면 어떨때 쓰나요,일단 난 안씀ㅋㅋㅋ 드라이기만 함
ㅇㅅㅈ 교수님입니당,아뇨 그런 말 없으셨어요
ㅇㅊㅁ 교수님입니다,ㅇㅇ 있어야햄
아 혼자하기 싫은데,역사 개노잼
아는 사람~~~~~,홈플
아니라고 해줘 제발,맞음
아니면 대면인가여?,비대면
아니면 동네 병원?,그냥 가까운데
아니면 할만한가요?,하기 싫다
아님 공유기나...,긱사에서 빌려줌 공유기
아님 내년에 듣나?,내년
아님 종이를 주시나,종이 따로주심
아모거나 들을까??,아니 근데 정원이 왜 죄다 한명
아무것도안뜨는데..,지금 서버 안좋으서 그런듯
아무도 안들어왔지?,응..
아시는 분 있나요?,저두 알려주세요오..
아시는분 계신가요?,그거 교수님이 사밭으로 줌수업을 등록하시면 거기 떠
아시는분 없나요??,머죠!
아예 못알아듣겠는데,스스로공부하자
아이패드도 가능해?,엥 우린 오픈북안된다했는데
아직 안나온거맞쥬?,교수님 누구요??
아직 안올라온거지?,목요일부터 조회 가능함 교수님이 올리셨어도 조회기간이 목요일부터임
아직도 안올라왔죠?,a+일텐데 안알려주네
아직도안들어온사람?,그럼 안주는거아님?
아ㆍ아 마셔도 대?,아아안돼
안 보이는데...?,교수님만 공문 받음
안가는거지?가야돼?,ㅇㅇㅅ교수님?
